frame,person,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,mask_stat,mask_conf,x_world,y_world
24.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9613394999504093,2.4959261175061895,0.002890189677314359
25.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9610894999504094,2.49581433163451,0.0026337993154210283
26.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9608394999504094,2.4958460911488407,0.0025534863439784826
27.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9605894999504094,2.496239636267626,0.0025016647236269884
28.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9603394999504095,2.496460363332176,0.0024368831522649796
29.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9600894999504095,2.4965862364176674,0.0017383405417540348
30.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9598394999504095,2.4965828877323712,0.001498998625743809
31.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9595894999504095,2.4964748561856784,0.001671194097074556
32.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9593394999504096,2.4970554262576994,0.0006794682016521134
33.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9590894999504096,2.4971994677455767,0.0004684818872338646
34.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9588394999504096,2.496790391846453,0.0007994705027538448
35.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9585894999504097,2.4969223803082095,0.0004077470783926312
36.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9583394999504097,2.4970173177173636,-3.220152678253386e-05
37.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9580894999504097,2.4972923476165754,-0.0001826858555042387
38.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9578394999504097,2.4970786634422977,0.0003010132447070214
39.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9575894999504098,2.49790175178437,-0.0009726278344104618
40.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9573394999504098,2.497136327610701,0.0006227635552130401
41.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9570894999504098,2.4969148110087755,0.001343619502700384
42.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9568394999504098,2.4967161125486372,0.0015358091572251055
43.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9565894999504099,2.49621923680013,0.0017210892611616705
44.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9563394999504099,2.496153910710559,0.0010085559114186523
45.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9560894999504099,2.495917540889432,0.0014500627337305629
46.0,1.0,200.0,481.0,37.0,356.0,1.0,0.95583949995041,2.4964621450600526,0.0003923645502413181
47.0,1.0,200.0,481.0,37.0,356.0,1.0,0.95558949995041,2.4972762924561076,-0.0010278658771547893
48.0,1.0,200.0,481.0,37.0,356.0,1.0,0.95533949995041,2.496526868015234,-0.0002785214058220132
49.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9567686915397644,2.496505263592198,-0.0003646745081873453
50.0,1.0,200.0,481.0,38.0,356.0,1.0,0.9565186915397644,2.496387866034357,8.384302748423223e-05
51.0,1.0,200.0,481.0,38.0,356.0,1.0,0.9562686915397645,2.4966741300857627,-0.0006803904872378202
52.0,1.0,200.0,481.0,38.0,356.0,1.0,0.9611304402351379,2.496480340125562,-0.0003393167998092264
53.0,1.0,200.0,481.0,38.0,356.0,1.0,0.960880440235138,2.4969351455855504,-0.0010857318600060875
54.0,1.0,200.0,481.0,38.0,356.0,1.0,0.960630440235138,2.4969798793233147,-0.0012709078162624955
55.0,1.0,200.0,481.0,38.0,356.0,1.0,0.9606269001960754,2.497174394572231,-0.0016746408914857347
56.0,1.0,200.0,481.0,38.0,356.0,1.0,0.9607163071632385,2.4971373108006256,-0.0014969932756239866
57.0,1.0,200.0,481.0,38.0,356.0,1.0,0.9641525149345398,2.4967265424062957,-7.142233552557364e-05
58.0,1.0,200.0,481.0,38.0,356.0,1.0,0.9639025149345398,2.496433187543985,0.0007423779660574107
59.0,1.0,200.0,481.0,38.0,356.0,1.0,0.9636525149345398,2.4960094867714653,0.0015409397001352962
60.0,1.0,200.0,481.0,38.0,356.0,1.0,0.9634025149345399,2.495838479535692,0.0025559538349730153
61.0,1.0,200.0,481.0,38.0,356.0,1.0,0.9631525149345399,2.4953383324920386,0.00372446874201196
62.0,1.0,200.0,481.0,38.0,356.0,1.0,0.9645264148712158,2.4951134224784273,0.004384593780173547
63.0,1.0,200.0,481.0,38.0,356.0,1.0,0.9642764148712158,2.495022930803742,0.004398657766479354
64.0,1.0,200.0,481.0,38.0,356.0,1.0,0.9640264148712159,2.494829308070473,0.005125077672895362
65.0,1.0,200.0,481.0,38.0,356.0,1.0,0.9637764148712159,2.4949369360078038,0.0047147811653233665
66.0,1.0,200.0,481.0,38.0,356.0,1.0,0.9635264148712159,2.4947751564995744,0.004322736727628062
67.0,1.0,200.0,481.0,38.0,356.0,1.0,0.963276414871216,2.494729655738702,0.0036487329537126883
68.0,1.0,200.0,481.0,38.0,356.0,1.0,0.963026414871216,2.494750600825648,0.0035207564542743142
69.0,1.0,200.0,481.0,38.0,356.0,1.0,0.962776414871216,2.4950772363709466,0.0030654610875187824
70.0,1.0,200.0,481.0,38.0,356.0,1.0,0.962526414871216,2.494875145908739,0.0033142380447659073
71.0,1.0,200.0,481.0,38.0,357.0,1.0,0.9651806354522705,2.49375100821865,0.006453702403426506
72.0,1.0,200.0,481.0,38.0,357.0,1.0,0.9649306354522705,2.493159206019733,0.00779949327260481
73.0,1.0,200.0,481.0,38.0,357.0,1.0,0.9646806354522706,2.493047653172641,0.008518592047229946
74.0,1.0,200.0,481.0,38.0,357.0,1.0,0.9644306354522706,2.4926430740168186,0.009420094133661789
75.0,1.0,200.0,481.0,38.0,357.0,1.0,0.9641806354522706,2.4926459915735086,0.009736474886472783
76.0,1.0,200.0,481.0,38.0,357.0,1.0,0.9639306354522706,2.4926106458626074,0.009952869261888047
77.0,1.0,200.0,481.0,38.0,357.0,1.0,0.9636806354522707,2.4926005628738532,0.009778512987322638
78.0,1.0,200.0,481.0,38.0,357.0,1.0,0.9634306354522707,2.492403474819612,0.010006590398954806
79.0,1.0,200.0,481.0,38.0,357.0,1.0,0.9631806354522707,2.4924564495502324,0.009877189272996842
80.0,1.0,200.0,481.0,38.0,357.0,1.0,0.9629306354522708,2.4922117723224253,0.010250785200401112
81.0,1.0,200.0,481.0,38.0,357.0,1.0,0.9626806354522708,2.492113839338438,0.01052013337449766
82.0,1.0,200.0,481.0,38.0,357.0,1.0,0.9624306354522708,2.4911684105054364,0.012587667493879337
83.0,1.0,200.0,482.0,38.0,358.0,1.0,0.9621806354522708,2.4843872160517795,0.02702951500563827
84.0,1.0,200.0,481.0,38.0,357.0,1.0,0.9619306354522709,2.487506813822727,0.019818238566736847
85.0,1.0,201.0,481.0,38.0,357.0,1.0,0.9616806354522709,2.492563794543083,0.012901958973094051
86.0,1.0,200.0,460.0,38.0,357.0,1.0,0.9614306354522709,2.408360753464297,-0.047355595030238236
87.0,1.0,200.0,457.0,38.0,357.0,1.0,0.961180635452271,2.396725244790615,-0.057081667831987586
88.0,1.0,199.0,454.0,38.0,357.0,1.0,0.960930635452271,2.385016672775665,-0.06852151601680861
89.0,1.0,199.0,454.0,38.0,357.0,1.0,0.960680635452271,2.3830454705800244,-0.07169551763901413
90.0,1.0,199.0,454.0,38.0,357.0,1.0,0.960430635452271,2.3852140667691906,-0.0706421500421127
91.0,1.0,199.0,454.0,38.0,357.0,1.0,0.9601806354522711,2.386152029014629,-0.07294556626187763
92.0,1.0,200.0,456.0,38.0,357.0,1.0,0.9599306354522711,2.392181270674733,-0.06534856009258963
93.0,1.0,200.0,456.0,38.0,357.0,1.0,0.9596806354522711,2.3950579860942764,-0.0627821273225742
94.0,1.0,200.0,463.0,38.0,357.0,1.0,0.9594306354522711,2.419132345069966,-0.036551478991864145
95.0,1.0,201.0,458.0,38.0,357.0,1.0,0.9591806354522712,2.4023391573940174,-0.05160112671210662
96.0,1.0,200.0,469.0,38.0,357.0,1.0,0.9589306354522712,2.442389526021802,-0.017818809821528038
97.0,1.0,200.0,474.0,38.0,357.0,1.0,0.9586806354522712,2.4635416215747017,-0.01493988032216179
97.0,2.0,204.0,449.0,38.0,284.0,1.0,0.9503374695777893,3.462270094885132,-1.9734762604999214
98.0,1.0,199.0,475.0,38.0,356.0,1.0,0.9584306354522713,2.4714063882881594,-0.01453047107775552
98.0,2.0,204.0,449.0,38.0,284.0,1.0,0.9500874695777893,3.460201321311102,-1.9694559747244018
99.0,1.0,200.0,473.0,38.0,357.0,1.0,0.9590044021606445,2.460011393676033,-0.008215355115223928
99.0,2.0,204.0,449.0,38.0,283.0,1.0,0.9590044021606445,3.4746959566051787,-1.9920945090220228
100.0,1.0,200.0,471.0,39.0,357.0,1.0,0.9599969387054443,2.450060598634628,-0.011454528922834406
100.0,2.0,204.0,449.0,38.0,283.0,1.0,0.9599969387054443,3.4790469917335494,-2.001548084153841
101.0,2.0,205.0,449.0,38.0,282.0,1.0,0.9597469387054444,3.5009643355047353,-2.0343117486283067
102.0,2.0,205.0,449.0,38.0,282.0,1.0,0.9594969387054444,3.506493880812477,-2.0417949318481665
103.0,2.0,206.0,448.0,38.0,281.0,1.0,0.9592469387054444,3.5209857196320433,-2.063011360208852
104.0,2.0,205.0,448.0,38.0,282.0,1.0,0.9589969387054444,3.5058056585459294,-2.0397235485413647
105.0,2.0,205.0,448.0,38.0,282.0,1.0,0.9587469387054445,3.491249288846976,-2.016793858479847
106.0,2.0,205.0,448.0,38.0,283.0,1.0,0.9584969387054445,3.4731206518179327,-1.9844347054710911
107.0,2.0,205.0,448.0,38.0,283.0,1.0,0.9585576057434082,3.4800321850526723,-1.9940638888495261
108.0,2.0,205.0,448.0,38.0,283.0,1.0,0.9588544368743896,3.4739053464070038,-1.9824055383026058
109.0,2.0,205.0,448.0,38.0,283.0,1.0,0.9614832997322083,3.4719977501758756,-1.9789193333425916
110.0,2.0,205.0,448.0,38.0,283.0,1.0,0.9623034596443176,3.4703612155396444,-1.9761290987776972
111.0,2.0,205.0,448.0,38.0,284.0,1.0,0.9620534596443177,3.470179628278736,-1.9756864328056942
112.0,2.0,205.0,448.0,38.0,284.0,1.0,0.9618034596443177,3.4695163760170633,-1.9745753142416504
113.0,2.0,205.0,448.0,38.0,284.0,1.0,0.9615534596443177,3.469180089290787,-1.9738816966635486
114.0,2.0,206.0,448.0,38.0,284.0,1.0,0.9613034596443177,3.4696216978368484,-1.9741067994971309
115.0,2.0,205.0,448.0,38.0,284.0,1.0,0.9610534596443178,3.470284981065701,-1.9756161294831758
116.0,2.0,205.0,448.0,38.0,284.0,1.0,0.9608034596443178,3.469716303462653,-1.9747115116987433
117.0,2.0,205.0,448.0,38.0,284.0,1.0,0.9605534596443178,3.4699131204436267,-1.9747533724337778
118.0,2.0,205.0,448.0,38.0,284.0,1.0,0.9603034596443178,3.470466594198976,-1.975454680266271
119.0,2.0,206.0,448.0,38.0,283.0,1.0,0.9600534596443179,3.4711248133483035,-1.9764930741371434
120.0,2.0,206.0,448.0,38.0,283.0,1.0,0.9598034596443179,3.4724232613342214,-1.9789829806983212
121.0,2.0,206.0,448.0,38.0,283.0,1.0,0.9595534596443179,3.4730776054751327,-1.9803393923673709
122.0,2.0,206.0,448.0,38.0,283.0,1.0,0.959303459644318,3.473111083920964,-1.981558225180154
123.0,2.0,206.0,448.0,38.0,283.0,1.0,0.959053459644318,3.47296065476599,-1.981973986208773
124.0,2.0,206.0,448.0,38.0,283.0,1.0,0.958803459644318,3.473073320644968,-1.981277454949407
125.0,2.0,206.0,448.0,38.0,283.0,1.0,0.958553459644318,3.473190126565706,-1.9816526911690864
126.0,2.0,206.0,448.0,38.0,283.0,1.0,0.9601991772651672,3.474502400159238,-1.9839401178158351
127.0,2.0,205.0,448.0,38.0,283.0,1.0,0.9599491772651673,3.4756742904530586,-1.9863184849963464
128.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9596991772651673,3.4793001179407184,-1.987584616752525
129.0,2.0,205.0,449.0,38.0,283.0,1.0,0.9594491772651673,3.480597332189112,-1.9868659479988853
130.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9591991772651673,3.479949445438063,-1.9847289422490975
131.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9589491772651674,3.479728304717998,-1.9833468662303313
132.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9586991772651674,3.480256363487978,-1.9822974186349873
133.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9584491772651674,3.480047014816786,-1.9804362547906365
134.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9581991772651675,3.480418614687523,-1.9810505959021991
135.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9579491772651675,3.481130005742591,-1.9816001696118486
136.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9576991772651675,3.4793389523806306,-1.9806340519552406
137.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9574491772651675,3.4783316730288005,-1.980560152262458
138.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9571991772651676,3.4787008391990644,-1.9833295859431141
139.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9569491772651676,3.478029511707933,-1.982620605093822
140.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9574917554855347,3.479143166977419,-1.984043181208623
141.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9590265154838562,3.4798140228975165,-1.9853105005771827
142.0,2.0,205.0,449.0,39.0,283.0,1.0,0.9649069905281067,3.4791626371029003,-1.9847860016703909
